code,name,valumn,percent
90000,浦發銀行,227664189,0.81%
90004,白雲機場,277592780,13.41%
90006,東風汽車,1352334,0.06%
90007,中國國貿,12657927,1.25%
90008,首創股份,58210873,1.20%
90009,上海機場,325819514,29.79%
90010,包鋼股份,116006091,0.36%
90011,華能國際,24116849,0.22%
90012,皖通高速,3485639,0.29%
90015,華夏銀行,52468381,0.40%
90016,民生銀行,426698174,1.20%
90017,日照港,37328645,1.21%
90018,上港集團,50351463,0.21%
90019,寶鋼股份,630824503,2.85%
90020,中原高速,7834450,0.34%
90021,上海電力,4863531,0.22%
90023,浙能電力,34089843,0.25%
90025,華能水電,4913500,0.27%
90026,中遠海能,5338961,0.19%
90027,華電國際,27020649,0.39%
90028,中國石化,762360352,0.79%
90029,南方航空,55578325,0.79%
90030,中信證券,184104315,1.87%
90031,三一重工,202352985,2.62%
90033,福建高速,5717745,0.20%
90036,招商銀行,438292541,2.12%
90037,歌華有線,2791364,0.23%
90038,中直股份,4548102,0.77%
90039,四川路橋,11288700,0.37%
90048,保利地產,167756553,1.42%
90050,中國聯通,158193769,0.74%
90053,九鼎投資,621823,0.14%
90054,黃山旅遊,2921194,0.56%
90056,中國醫藥,6594294,0.65%
90058,五礦發展,134647,0.01%
90059,古越龍山,623048,0.07%
90060,海信電器,10791004,0.82%
90061,國投資本,5791061,0.15%
90062,華潤雙鶴,15204516,2.21%
90063,皖維高新,1736933,0.09%
90064,南京高科,1381708,0.11%
90066,宇通客車,310622663,16.31%
90067,冠城大通,1183183,0.07%
90068,葛洲壩,31838701,0.69%
90072,中船科技,150758,0.02%
90073,上海梅林,3013935,0.32%
90074,*ST保千,294738,0.02%
90075,新疆天業,870012,0.10%
90077,宋都股份,29170,0.00%
90078,澄星股份,7123,0.00%
90079,人福醫藥,22197859,1.72%
90080,金花股份,12642,0.00%
90081,東風科技,530063,0.16%
90085,同仁堂,5684262,0.41%
90086,東方金鈺,159992,0.01%
90088,中視傳媒,224807,0.05%
90089,特變電工,24164106,0.65%
90093,易見股份,157165,0.01%
90094,大名城,6631521,0.29%
90096,雲天化,203761,0.01%
90098,廣州發展,1233223,0.04%
90100,同方股份,13115590,0.44%
90101,明星電力,86251,0.02%
90104,上汽集團,342521196,2.97%
90105,永鼎股份,608424,0.06%
90106,重慶路橋,1534781,0.13%
90108,亞盛集團,2161148,0.11%
90109,國金證券,21422754,0.70%
90110,諾德股份,11620,0.00%
90111,北方稀土,24049344,0.66%
90112,天成控股,229309,0.04%
90113,浙江東日,74434,0.02%
90114,東睦股份,15489173,2.44%
90115,東方航空,43849846,0.44%
90116,三峽水利,2825391,0.28%
90118,中國衛星,7935944,0.67%
90119,長江投資,770117,0.25%
90120,浙江東方,136884,0.02%
90121,鄭州煤電,100,0.00%
90122,宏圖高科,4205309,0.36%
90123,蘭花科創,4579100,0.40%
90125,鐵龍物流,38958376,2.98%
90132,重慶啤酒,5699,0.00%
90135,樂凱膠片,226980,0.06%
90138,中青旅,38190444,5.27%
90141,興發集團,5482141,0.91%
90143,金發科技,5815076,0.22%
90150,*ST船舶,957827,0.06%
90153,建發股份,26773635,0.94%
90155,華創陽安,1968027,0.17%
90157,永泰能源,14056276,0.11%
90158,中體產業,2908250,0.44%
90160,巨化股份,5274071,0.19%
90161,天壇生物,1437347,0.16%
90162,香江控股,7362489,0.31%
90166,福田汽車,9251848,0.13%
90167,聯美控股,268267,0.03%
90168,武漢控股,403337,0.05%
90169,太原重工,2649945,0.10%
90170,上海建工,18345123,0.21%
90171,上海貝嶺,1028929,0.15%
90172,黃河旋風,6139961,0.52%
90173,臥龍地產,899584,0.12%
90175,美都能源,26134845,1.06%
90176,中國巨石,192682066,5.50%
90177,雅戈爾,31991629,0.89%
90180,瑞茂通,3320592,0.32%
90183,生益科技,23598841,1.11%
90185,格力地產,7365862,0.35%
90188,兗州煤業,6431045,0.21%
90190,錦州港,1217224,0.06%
90195,中牧股份,646121,0.10%
90196,復星醫藥,23719543,1.24%
90197,伊力特,1677832,0.38%
90200,江蘇吳中,2432470,0.34%
90201,生物股份,30624970,2.69%
90206,有研新材,1754433,0.20%
90208,新湖中寶,39619301,0.46%
90210,紫江企業,3014560,0.19%
90216,浙江醫藥,17929458,1.89%
90218,全柴動力,101,0.00%
90219,南山鋁業,88302195,1.24%
90221,海航控股,17229749,0.10%
90226,瀚葉股份,1009459,0.05%
90230,滄州大化,150712,0.03%
90231,凌鋼股份,425376,0.02%
90233,圓通速遞,2454946,0.31%
90236,桂冠電力,14457803,0.40%
90238,*ST椰島,1600,0.00%
90239,雲南城投,3030013,0.18%
90240,華業資本,4283483,0.30%
90246,萬通地產,3300,0.00%
90248,延長化建,4471,0.00%
90251,冠農股份,906141,0.11%
90252,中恆集團,6352458,0.18%
90255,夢舟股份,4556983,0.25%
90256,廣彙能源,3642979,0.05%
90257,大湖股份,345607,0.08%
90258,首旅酒店,62180450,9.95%
90259,廣晟有色,309606,0.11%
90260,凱樂科技,4340726,0.69%
90261,陽光照明,2519011,0.17%
90266,北京城建,7034110,0.44%
90267,海正藥業,2778280,0.28%
90268,國電南自,62301,0.00%
90269,贛粵高速,11476581,0.49%
90270,外運發展,6019925,0.66%
90271,航天信息,17242273,0.93%
90273,嘉化能源,19182504,1.30%
90276,恆瑞醫藥,532755052,14.54%
90277,億利潔能,5454834,0.20%
90278,東方創業,193422,0.03%
90280,中央商場,1657006,0.14%
90282,南鋼股份,79331,0.00%
90284,浦東建設,10806330,1.11%
90285,羚銳製藥,3927084,0.73%
90289,*ST信通,119471,0.02%
90290,華儀電氣,293737,0.05%
90291,西水股份,1735843,0.17%
90292,遠達環保,1005605,0.12%
90295,鄂爾多斯,2186018,0.35%
90297,廣匯汽車,24549999,0.34%
90298,安琪酵母,75485562,9.15%
90299,安迪蘇,1532205,0.26%
90300,維維股份,1511400,0.09%
90305,恆順醋業,6285704,0.80%
90307,酒鋼宏興,1979808,0.03%
90309,萬華化學,43789385,1.60%
90310,桂東電力,4465867,0.53%
90312,平高電氣,2217542,0.16%
90315,上海家化,9400513,1.40%
90316,洪都航空,356978,0.04%
90317,營口港,321233,0.00%
90318,新力金融,62786,0.01%
90321,*ST正源,226801,0.01%
90323,瀚藍環境,21539901,2.81%
90325,華發股份,13502281,0.70%
90326,西藏天路,575556,0.06%
90327,大東方,1638359,0.22%
90329,中新藥業,4798423,0.84%
90332,白雲山,9132646,0.85%
90333,長春燃氣,5900,0.00%
90335,國機汽車,1018936,0.09%
90337,美克家居,1089170,0.07%
90338,西藏珠峰,650588,0.41%
90340,華夏幸福,18521896,0.62%
90343,航天動力,1261842,0.19%
90345,長江通信,616900,0.31%
90346,恆力股份,3761337,0.40%
90348,陽泉煤業,28513415,1.18%
90350,山東高速,19342433,0.40%
90351,亞寶藥業,807541,0.11%
90352,浙江龍盛,26276006,0.80%
90353,旭光股份,2000,0.00%
90362,江西銅業,7194987,0.34%
90363,聯創光電,880585,0.19%
90366,寧波韻升,3674848,0.37%
90369,西南證券,8402264,0.14%
90372,中航電子,3106208,0.17%
90373,中文傳媒,3480457,0.25%
90375,華菱星馬,308701,0.05%
90376,首開股份,4381666,0.17%
90377,寧滬高速,39393081,1.03%
90378,天科股份,2881,0.00%
90380,健康元,5720808,0.36%
90381,青海春天,1670,0.00%
90382,廣東明珠,4600,0.00%
90383,金地集團,31799083,0.70%
90386,北巴傳媒,506652,0.06%
90387,海越股份,1129481,0.29%
90388,龍淨環保,2015369,0.18%
90389,江山股份,19600,0.00%
90391,航發科技,1412174,0.42%
90392,盛和資源,133364,0.00%
90393,粵泰股份,13275939,1.34%
90395,盤江股份,4314009,0.26%
90396,金山股份,221650,0.01%
90397,*ST安煤,562483,0.05%
90398,海瀾之家,55600881,1.23%
90399,*ST撫鋼,1231708,0.10%
90400,紅豆股份,2019195,0.09%
90403,大有能源,85459,0.00%
90405,動力源,184090,0.03%
90406,國電南瑞,108873157,4.93%
90409,三友化工,2970368,0.14%
90410,華勝天成,1918704,0.17%
90415,小商品城,12343529,0.22%
90416,湘電股份,2537142,0.28%
90418,江淮汽車,1923516,0.10%
90420,現代製藥,6480630,1.12%
90422,昆藥集團,1196009,0.17%
90425,青松建化,87887,0.00%
90426,華魯恆升,11899592,0.73%
90428,中遠海特,1672572,0.09%
90433,冠豪高新,723247,0.05%
90435,北方導航,4331035,0.29%
90436,片仔？,7193679,1.19%
90438,通威股份,27813815,0.99%
90439,瑞貝卡,18330877,1.61%
90446,金證股份,4262797,0.51%
90449,寧夏建材,651839,0.13%
90452,涪陵電力,233788,0.10%
90458,時代新材,793623,0.11%
90459,貴研鉑業,1248587,0.36%
90460,士蘭微,7050142,0.56%
90466,藍光發展,16487941,0.55%
90467,好當家,159100,0.01%
90468,百利電氣,494278,0.06%
90469,風神股份,300,0.00%
90470,六國化工,800,0.00%
90477,杭蕭鋼構,4979809,0.30%
90478,科力遠,95692,0.00%
90479,千金藥業,551004,0.15%
90480,凌雲股份,428093,0.11%
90481,雙良節能,2126974,0.13%
90482,中國動力,8484440,0.93%
90483,福能股份,2268356,0.18%
90485,信威集團,3830715,0.21%
90486,揚農化工,4419427,1.42%
90487,亨通光電,21067844,1.13%
90488,天藥股份,963430,0.10%
90489,中金黃金,15383997,0.44%
90490,鵬欣資源,1477542,0.09%
90491,龍元建設,4013136,0.42%
90495,晉西車軸,1248108,0.10%
90496,精工鋼構,2413886,0.15%
90497,馳宏鋅鍺,32071025,0.74%
90498,烽火通信,8937612,0.86%
90499,科達潔能,5582772,0.39%
90500,中化國際,4482814,0.21%
90501,航天晨光,719781,0.17%
90502,安徽水利,1475190,0.16%
90503,華麗家族,10019571,0.62%
90507,方大特鋼,9040122,0.68%
90508,上海能源,100,0.00%
90509,天富能源,1891313,0.20%
90510,黑牡丹,1032488,0.12%
90511,國藥股份,9660511,3.47%
90513,聯環藥業,109561,0.03%
90516,方大炭素,22497170,1.30%
90517,置信電氣,1609530,0.12%
90518,康美藥業,32209445,0.73%
90519,貴州茅台,91622856,7.29%
90521,華海藥業,19201473,1.55%
90522,中天科技,15243506,0.55%
90523,貴航股份,9520,0.00%
90525,長園集團,10882935,0.86%
90526,菲達環保,2768767,0.50%
90527,江南高纖,4162934,0.34%
90528,中鐵工業,4244570,0.23%
90531,豫光金鉛,1430125,0.13%
90532,宏達礦業,60411,0.01%
90535,天士力,61569301,4.07%
90536,中國軟件,8586976,1.73%
90537,億晶光電,1327556,0.11%
90545,卓郎智能,1005762,0.14%
90546,山煤國際,156699,0.00%
90547,山東黃金,11077174,0.76%
90548,深高速,9742728,0.67%
90549,廈門鎢業,9344320,0.66%
90551,時代出版,1225255,0.24%
90552,凱盛科技,2217284,0.29%
90557,康緣藥業,4186359,0.69%
90559,老白干酒,3001592,0.61%
90561,江西長運,19900,0.00%
90562,國睿科技,1390112,0.23%
90563,法拉電子,630718,0.28%
90565,迪馬股份,3456858,0.14%
90566,濟川藥業,6819022,0.83%
90567,山鷹紙業,157973636,3.45%
90568,中珠醫療,11370246,0.68%
90570,恆生電子,7277989,1.17%
90571,信雅達,1096986,0.25%
90572,康恩貝,11278613,0.45%
90577,精達股份,1512747,0.07%
90578,京能電力,7959906,0.14%
90580,臥龍電氣,2636600,0.23%
90582,天地科技,12081665,0.29%
90583,海油工程,17310046,0.39%
90584,長電科技,32263352,3.27%
90585,海螺水泥,347644797,8.69%
90586,金晶科技,3544701,0.24%
90587,新華醫療,2920097,0.72%
90588,用友網絡,8214538,0.43%
90589,廣東榕泰,101,0.00%
90594,益佰製藥,2448545,0.30%
90596,新安股份,4656180,0.67%
90597,光明乳業,3154708,0.25%
90598,北大荒,2226909,0.12%
90600,青島啤酒,4645742,0.66%
90601,方正科技,2252523,0.10%
90604,市北高新,90,0.00%
90606,綠地控股,65877021,0.54%
90611,大眾交通,3135860,0.20%
90612,老鳳祥,2572807,0.81%
90613,神奇製藥,437605,0.09%
90614,鵬起科技,12586518,0.97%
90616,金楓酒業,5035,0.00%
90617,國新能源,3230518,0.35%
90618,氯鹼化工,4941,0.00%
90620,天宸股份,6195,0.00%
90621,華鑫股份,825461,0.15%
90622,光大嘉寶,2028,0.00%
90623,華誼集團,1555172,0.16%
90624,復旦復華,187303,0.02%
90626,申達股份,564528,0.07%
90628,新世界,352257,0.06%
90629,華建集團,34132,0.00%
90633,浙數文化,2107604,0.16%
90634,*ST富控,27723,0.00%
90635,大眾公用,2321633,0.09%
90636,三愛富,60346,0.01%
90637,東方明珠,17801719,0.67%
90638,新黃浦,556477,0.08%
90639,浦東金橋,647705,0.09%
90640,號百控股,527214,0.08%
90641,萬業企業,8946157,1.10%
90642,申能股份,81549788,1.79%
90643,愛建集團,22883393,1.59%
90645,中源協和,1547584,0.40%
90648,外高橋,1425892,0.15%
90649,城投控股,11553398,0.47%
90650,錦江投資,807927,0.20%
90651,飛樂音響,1002321,0.10%
90654,ST中安,548738,0.07%
90655,豫園股份,4038990,0.28%
90657,信達地產,18331725,1.20%
90658,電子城,23891,0.00%
90660,福耀玻璃,304468164,15.20%
90661,新南洋,1451085,0.56%
90662,強生控股,708490,0.06%
90663,陸家嘴,3871848,0.15%
90664,哈藥股份,12593476,0.50%
90666,奧瑞德,2414712,0.30%
90667,太極實業,22468825,1.88%
90668,尖峰集團,4400600,1.27%
90673,東陽光科,6269503,0.25%
90674,川投能源,72857682,1.65%
90675,中華企業,488185,0.02%
90676,交運股份,1222634,0.12%
90677,航天通信,17800,0.00%
90682,南京新百,6333454,0.72%
90684,珠江實業,5707123,0.66%
90685,中船防務,1790597,0.21%
90686,金龍汽車,127816,0.02%
90687,剛泰控股,1814784,0.16%
90688,上海石化,22686534,0.30%
90690,青島海爾,440310307,7.22%
90693,東百集團,4115783,0.45%
90694,大商股份,3082232,1.04%
90697,歐亞集團,2109488,1.35%
90699,均勝電子,10172642,1.07%
90703,三安光電,86267863,2.11%
90704,物產中大,20035920,1.49%
90705,中航資本,63501403,0.83%
90708,光明地產,8989195,0.69%
90711,盛屯礦業,3386589,0.22%
90715,文投控股,1162938,0.25%
90716,鳳凰股份,860441,0.09%
90717,天津港,1754577,0.10%
90718,東軟集團,16933650,1.36%
90720,祁連山,2444482,0.31%
90723,首商股份,100,0.00%
90724,寧波富達,6783,0.00%
90729,重慶百貨,19833066,4.87%
90730,中國高科,195251,0.03%
90736,蘇州高新,11767382,0.98%
90737,中糧糖業,33508486,1.63%
90739,遼寧成大,9981943,0.65%
90741,華域汽車,192781913,6.72%
90742,一汽富維,1973705,0.38%
90743,華遠地產,7247044,0.30%
90747,ST大控,12900,0.00%
90748,上實發展,7743464,0.54%
90750,江中藥業,3588386,0.85%
90754,錦江股份,4263906,0.65%
90755,廈門國貿,3756642,0.20%
90756,浪潮軟件,978357,0.30%
90757,長江傳媒,1335527,0.11%
