code,name,valumn,percent
90000,浦發銀行,1234106,0.0
90004,白雲機場,-1011705,-0.05000000000000071
90006,東風汽車,-271636,-0.009999999999999995
90007,中國國貿,-55318,-0.010000000000000009
90008,首創股份,48400,0.0
90009,上海機場,1486532,0.129999999999999
90010,包鋼股份,626971,0.0
90011,華能國際,356602,0.010000000000000009
90012,皖通高速,-115600,-0.009999999999999953
90015,華夏銀行,725661,0.009999999999999953
90016,民生銀行,-555983,0.0
90017,日照港,0,0.0
90018,上港集團,-730487,0.0
90019,寶鋼股份,24770184,0.1200000000000001
90020,中原高速,-298500,-0.019999999999999962
90021,上海電力,-3176,0.0
90023,浙能電力,620889,0.010000000000000009
90025,華能水電,273900,0.019999999999999962
90026,中遠海能,-291600,-0.010000000000000009
90027,華電國際,410246,0.0
90028,中國石化,12456099,0.010000000000000009
90029,南方航空,371134,0.0
90030,中信證券,-3649708,-0.040000000000000036
90031,三一重工,11847166,0.1599999999999997
90033,福建高速,0,0.0
90036,招商銀行,6833637,0.03000000000000025
90037,歌華有線,0,0.0
90038,中直股份,-152242,-0.020000000000000018
90039,四川路橋,-1433600,-0.04999999999999999
90048,保利地產,882776,0.010000000000000009
90050,中國聯通,4607276,0.020000000000000018
90053,九鼎投資,-92900,-0.020000000000000004
90054,黃山旅遊,-41408,-0.010000000000000009
90056,中國醫藥,-318777,-0.030000000000000027
90058,五礦發展,0,0.0
90059,古越龍山,0,0.0
90060,海信電器,-1443417,-0.1100000000000001
90061,國投資本,91182,0.0
90062,華潤雙鶴,-36819,-0.010000000000000231
90063,皖維高新,0,0.0
90064,南京高科,0,0.0
90066,宇通客車,-5117,0.0
90067,冠城大通,0,0.0
90068,葛洲壩,861504,0.020000000000000018
90072,中船科技,1100,0.0
90073,上海梅林,189160,0.020000000000000018
90074,*ST保千,0,0.0
90075,新疆天業,-289480,-0.039999999999999994
90077,宋都股份,0,0.0
90078,澄星股份,0,0.0
90079,人福醫藥,695113,0.06000000000000005
90080,金花股份,0,0.0
90081,東風科技,0,0.0
90085,同仁堂,-34376,0.0
90086,東方金鈺,0,0.0
90088,中視傳媒,0,0.0
90089,特變電工,235859,0.010000000000000009
90093,易見股份,23600,0.01
90094,大名城,-282600,-0.019999999999999962
90096,雲天化,0,0.0
90098,廣州發展,0,0.0
