,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,2.261,5.88,5.78,5.9,5.73,5.75,4224770.0,1.8336700000000001,24640400.0,44.885,1.999,338688.0,135475.2
1,603998,方盛制药,3.026,7.83,7.6,7.89,7.58,7.6,2983349.0,0.70164,23222236.0,55.929,3.347,337423.25601,332929.03176
2,603997,继峰股份,0.0,10.87,0.0,0.0,0.0,10.87,0.0,0.0,0.0,23.63,3.8369999999999997,693200.7704,684810.0
3,603996,中新科技,3.903,11.18,10.78,11.28,10.65,10.76,15091861.0,14.61328,166480092.0,22.816,2.223,335567.7,115461.45
4,603993,洛阳钼业,0.0,6.17,6.1,6.36,6.01,6.17,384372771.0,2.1758100000000002,2371301313.0,44.071,3.424,13326731.439711,10899781.683711
5,603991,至正股份,1.627,22.49,22.32,22.53,22.1,22.13,293172.0,0.7136800000000001,6564031.0,41.648,3.582,167629.210502,92386.486582
6,603990,麦迪科技,0.809,33.65,33.5,33.77,33.31,33.38,174300.0,0.28919,5847856.0,52.578,6.349,272304.549,202815.28
7,603989,艾华集团,4.672,22.63,21.83,22.7,21.53,21.62,2060589.0,0.52836,45623774.0,23.33,3.308,882570.0,882570.0
8,603988,中电电机,3.255,14.91,14.38,14.95,14.3,14.44,3718233.0,2.2132300000000003,54479959.0,53.25,2.656,250488.0,250488.0
9,603987,康德莱,2.782,7.39,7.2,7.42,7.11,7.19,2959746.0,1.11227,21690289.0,19.447,1.857,326349.051,196647.92217
10,603986,兆易创新,-1.443,126.39,125.5,127.7,123.5,128.24,7036011.0,3.39253,882349536.0,63.513,14.974,3586336.826292,2621292.945381
11,603985,恒润股份,2.341,19.67,19.23,19.72,19.17,19.22,516308.0,0.7757000000000001,10072842.0,15.543,1.525,204568.0,130923.52
12,603980,吉华集团,2.951,15.7,15.21,15.72,15.18,15.25,6597108.0,2.68576,102155686.0,17.78,1.9180000000000001,785000.0,385643.94816
13,603979,金诚信,4.318,9.18,9.01,9.34,9.01,8.8,8545465.0,2.73429,78374706.0,26.229,1.383,537030.0,286902.40689
14,603978,深圳新星,4.915,35.86,34.15,36.7,34.09,34.18,2384509.0,5.96127,84740241.0,22.841,2.121,573760.0,143440.0
15,603977,国泰集团,2.05,8.96,8.77,8.99,8.71,8.78,1482360.0,0.8424800000000001,13193952.0,28.903,2.067,277322.752,157652.992
16,603976,正川股份,1.838,16.62,16.32,16.66,16.18,16.32,1586820.0,4.19794,26161959.0,18.264,1.841,251294.4,62823.6
