,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601869,长飞光纤,1.86,77.14,7.68,26.99,2.55,126835.32,76.87,,07-02
1,000693,*ST华泽,-4.21,521.86,,,,-228779.52,465.94,,06-29
2,000939,*ST凯迪,-0.61,-377.27,,-22.3,,-238051.26,-813.74,,06-29
3,002932,明德生物,1.31,9.17,4.82,31.51,0.93,6549.26,9.72,,06-27
4,600399,*ST抚钢,-1.03,-1303.27,,,,-133758.53,-1302.46,,06-26
5,603713,密尔克卫,0.73,45.13,6.32,12.47,1.25,8369.16,49.37,,06-25
6,000409,*ST地矿,-0.44,7.47,,-27.29,,-22484.18,16.16,,06-22
7,603706,东方环宇,0.8,-32.77,4.45,18.83,1.4,9657.33,-32.45,,06-19
8,603105,芯能科技,0.28,40.0,2.47,12.12,0.45,11638.35,49.76,,06-19
9,603693,江苏新能,0.62,6.9,6.56,9.85,1.47,31177.07,6.68,,06-12
10,300216,千山药机,-0.9,-257.89,,-38.52,,-32408.91,-257.48,,06-09
11,603650,彤程新材,0.6,15.38,2.22,27.99,,31487.09,19.84,,06-06
12,300747,锐科激光,2.89,210.75,5.36,70.45,2.12,27717.56,211.31,,06-05
13,603587,地素时尚,1.41,-8.44,3.92,43.98,1.65,48006.37,-8.09,,06-04
14,603666,亿嘉和,2.64,147.04,5.89,51.41,0.45,13899.32,153.37,,05-29
15,300750,宁德时代,2.01,7.19,12.63,18.99,1.2,387795.49,35.98,,05-22
16,601330,绿色动力,0.2,-9.09,2.14,9.55,-0.21,20647.74,-10.61,,05-21
17,603045,福达合金,0.74,18.36,,11.41,0.73,5475.8,18.35,,05-16
18,601138,工业富联,0.95,,1.59,18.87,0.48,1586760.7,10.45,,05-14
19,603486,科沃斯,1.04,395.24,3.49,35.2,1.35,37566.29,636.48,,05-08
20,300746,汉嘉设计,0.38,26.67,3.79,10.64,0.37,6048.53,26.85,,05-08
21,600175,美都能源,0.02,-67.27,,0.54,,5788.91,-61.18,,05-03
22,600680,*ST上普,-0.92,-25.83,,-64.82,,-35012.77,-25.84,,05-03
23,300745,欣锐科技,1.07,-30.97,8.15,13.98,1.65,9149.68,-27.56,,05-03
24,300156,神雾环保,0.36,-48.57,,13.36,,36104.82,-48.84,,04-28
25,603203,快克股份,1.1,-24.66,,19.62,,13164.82,27.57,,04-28
26,600983,惠而浦,-0.13,-126.53,,-2.44,,-9697.57,-126.05,10派0.5,04-28
27,600241,时代万恒,0.09,-125.71,,3.07,,1950.28,-124.8,10派0.2,04-28
28,000893,*ST东凌,-3.15,-10610.67,,-76.86,,-238666.1,-12326.18,,04-28
29,300269,联建光电,0.15,-78.5,,2.05,,10428.58,-74.12,,04-28
30,002573,清新环境,0.61,-13.06,,16.74,,65165.79,-12.44,,04-28
31,600356,恒丰纸业,0.33,3.13,,4.8,,9773.06,3.23,10派0.99,04-28
32,000998,隆平高科,0.61,48.78,,13.1,,77177.2,54.0,10派1,04-28
33,600759,洲际油气,-0.1,-626.84,,-4.22,,-22647.63,-625.38,,04-28
34,300043,星辉娱乐,0.18,-51.35,,9.31,,23003.4,-49.78,,04-28
35,000679,大连友谊,0.04,-90.25,,0.95,,1305.62,-90.24,,04-28
36,600850,华东电脑,0.69,4.3,,14.6,,28861.01,4.93,10派2.2,04-28
37,603861,白云电器,0.38,-6.93,,7.92,,15495.31,-4.06,10派0.88,04-28
38,600509,天富能源,0.19,-45.71,,3.61,,17877.8,-42.81,10派0.47,04-28
39,600515,海航基础,0.51,-16.38,,5.87,,199325.57,107.68,,04-28
40,600193,*ST创兴,-0.18,-40.0,,-35.6,,-7822.08,-38.85,,04-28
41,603998,方盛制药,0.14,-12.5,,6.24,,5968.04,-14.44,,04-28
42,600988,赤峰黄金,0.19,-57.78,,10.51,,27435.67,-14.6,,04-28
43,002513,蓝丰生化,0.1,-68.75,,1.39,,3544.68,-66.93,,04-28
44,000426,兴业矿业,0.3,432.39,,11.03,,56498.53,531.56,10派0.2,04-28
45,000982,*ST中绒,0.03,-104.53,,2.53,,4796.22,-104.52,,04-28
46,601700,风范股份,0.12,-33.33,,4.59,,13765.59,-33.87,,04-28
47,600747,ST大控,0.02,-130.0,,1.59,,3119.59,-131.68,,04-28
48,000596,古井贡酒,2.28,38.18,,19.09,,114874.06,38.46,10派10,04-28
49,600145,*ST新亿,0.01,-445.0,,1.65,,1023.51,-421.66,,04-28
50,600894,广日股份,0.46,-62.7,,5.84,,39844.94,-62.7,10派1.4,04-28
51,600559,老白干酒,0.37,48.0,,9.84,,16352.33,47.53,10派2转4,04-28
52,600594,益佰制药,0.49,0.62,,9.48,,38752.98,0.69,10派0.5,04-28
53,600612,老凤祥,2.17,7.44,,21.13,,113619.6,7.44,10派10.5,04-28
54,600255,梦舟股份,0.09,-18.18,,4.43,,15043.04,-21.56,10派0.02,04-28
55,600291,西水股份,2.19,6344.71,,22.01,,239508.76,6553.82,10派0.3,04-28
56,600686,金龙汽车,0.75,-163.56,,13.74,,47886.52,-166.64,10派1,04-28
57,603519,立霸股份,0.52,15.23,,11.9,,8348.43,15.08,,04-28
58,000539,粤电力A,0.14,-22.22,,3.16,,74318.04,-20.65,10派0.8,04-28
59,000558,莱茵体育,0.02,-26.33,,2.18,,2850.21,13.14,,04-28
60,601021,春秋航空,1.58,32.77,,16.0,,126158.15,32.73,,04-28
61,600654,ST中安,-0.57,-371.43,,-28.94,,-73503.08,-368.16,,04-28
62,600000,浦发银行,1.84,-23.46,13.47,14.45,-4.79,5425800.0,2.18,10派1,04-28
63,000595,宝塔实业,0.02,-118.18,,2.76,,1874.25,-122.2,,04-28
64,600421,ST仰帆,-0.04,-300.0,,-180.36,,-839.66,-361.57,,04-28
65,600818,中路股份,0.1,-64.29,,4.96,,3127.48,-65.39,,04-28
66,600496,精工钢构,0.04,-43.31,,1.6,,6202.21,-43.4,,04-28
67,600157,永泰能源,0.05,-13.7,,2.51,,60234.59,-9.97,,04-28
68,600587,新华医疗,0.16,77.78,,2.0,,6552.87,89.19,10派0.5,04-28
69,002496,辉丰股份,0.27,125.0,,11.32,,40808.14,133.99,,04-28
70,000820,神雾节能,0.55,-26.67,,38.42,,34808.85,4.44,,04-28
71,600622,光大嘉宝,0.61,38.01,,10.34,,54535.79,84.4,10派2.1转3,04-28
72,600247,*ST成城,-0.21,-66.93,,-180.98,,-7093.38,-66.93,,04-28
73,600642,申能股份,0.38,-29.39,,6.82,,173763.9,-29.39,10派2,04-28
74,600661,新南洋,0.45,-36.06,,9.74,,12311.58,-32.67,,04-28
75,002577,雷柏科技,0.07,16.67,,1.61,,1887.57,5.24,,04-28
76,000425,徐工机械,0.14,366.67,,4.7,,102061.77,389.31,10派0.4,04-28
77,600339,中油工程,0.12,-56.39,,3.0,,67000.59,-47.96,10派0.37,04-28
78,603616,韩建河山,-0.2,-552.13,,-7.28,,-5930.16,-552.11,,04-28
79,002004,华邦健康,0.25,-10.71,,5.35,,50790.56,-10.4,,04-28
80,600055,万东医疗,0.2,9.19,,6.0,,10911.71,52.52,10派0.5,04-28
81,000639,西王食品,0.76,153.33,,15.44,,34327.37,154.63,10派1.08转4,04-28
82,000690,宝新能源,0.05,-84.85,,1.23,,10313.77,-84.71,10派0.3,04-28
