报告期日期,18-03-31,17-12-31,17-09-30,17-06-30,17-03-31,16-12-31,16-09-30,16-06-30,16-03-31,15-12-31,15-09-30,15-06-30,15-03-31,14-12-31,14-09-30,14-06-30,14-03-31,13-12-31,13-09-30,13-06-30
流动资产：,,,,,,,,,,,,,,,,,,,,
货币资金(元),1331118349.96,1402830600.14,973344843.86,553870931.47,598275863.65,729784194.88,597742083.32,636706430.55,546529664.41,729044894.44,378773930.26,530392106.94,469974372.41,347877207.15,538895324.13,561168481.09,508292409.46,460540321.29,376997567.78,392562409.12
交易性金融资产(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
应收票据(元),189169747.27,200995231.11,137606649.07,137450255.55,181561956.35,180467379.23,171342624.09,119143853.03,104789971.85,147489721.64,86954057.81,68335284.05,111414843.05,131626100.76,127482113.05,81691080.40,106513205.84,208457151.31,104425017.02,60900362.00
应收账款(元),1782177370.19,1514704166.86,1597217634.13,1483862822.29,1499188475.25,1289383537.91,1285153696.98,1399600808.88,1183209432.68,1104823386.52,977283652.84,1053911816.51,940730299.45,754034108.28,840605761.42,723606418.68,635516046.45,444370411.75,406163000.96,368297725.13
预付款项(元),424086472.47,393343384.02,419750885.33,376496490.96,315602849.70,340030517.66,244606094.24,210990776.04,244875785.84,210486474.33,115121198.27,131432193.44,145122087.02,128128041.36,153797053.48,178713977.77,163334942.52,110013953.68,122215422.91,107967175.66
应收利息(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
其他应收款(元),201242464.99,153443333.05,232389924.13,169537544.52,154376223.82,124385913.54,106564375.18,114647170.48,144790881.44,135973904.93,865465354.70,71425968.15,40447747.72,38653715.75,54469817.51,44696469.28,43177034.23,25053277.77,32506749.00,27121595.94
应收股利(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
存货(元),1893078542.42,1679593607.97,1632760862.98,1528842951.06,1386731831.43,1275472231.51,1135681979.29,1077440579.93,1078878205.31,1311171735.45,957823795.87,960107020.00,1092303176.93,1212553196.33,1270942574.85,1313050020.03,1305786920.68,1108980745.49,1044850699.37,959593916.02
一年内到期的非流动资产(元),872326192.40,995807289.85,1007431992.19,974165688.25,938465636.48,903784851.74,1040529549.85,1002548452.04,1231454341.12,1136341034.72,1183169270.10,1189987284.14,1343069328.82,1279002174.13,1034871739.45,1260023603.43,1076482024.85,898369505.84,818230203.01,744550736.56
其他流动资产(元),353341404.93,250989196.56,163317086.34,142184615.19,123263670.62,128059285.30,125272023.90,120507942.43,112710325.37,139314656.82,120095435.34,117356637.83,120972599.17,232133109.50,106004979.19,119033728.35,112963801.47,99764603.30,104889647.55,102830248.11
